Word,Phonetic,Frequency,Definition,Cloze Test,Chinese Definition,Unit
comprise,[kəmˈpraɪz],2 / 5,"1. V-T If you say that something comprises or is comprised of a number of things or people, you mean it has them as its parts or members.","V-T If you say that something ___s or is ___d of a number of things or people, you mean it has them as its parts or members.",包含; 由…组成 [正式],Unit 4
attain,[əˈteɪn],1 / 5,"1. V-T If you attain something, you gain it or achieve it, often after a lot of effort. (","V-T If you ___ something, you gain it or achieve it, often after a lot of effort. (",常指经过努力) 获得 [正式],Unit 4
outlet,[ˈaʊtlet],2 / 5,"1. N-COUNT An outlet is a shop or organization which sells the goods made by a particular manufacturer or at a discount price, often direct from the manufacturer. | 2. N-COUNT If someone has an outlet for their feelings or ideas, they have a means of expressing and releasing them. ( | 3. N-COUNT An outlet is a hole or pipe through which liquid or air can flow away.","N-COUNT An ___ is a shop or organization which sells the goods made by a particular manufacturer or at a discount price, often direct from the manufacturer.",专卖店; 直销店 | 感情的) 发泄途径; (思想的) 表达途径 | 出水口; 排气口 | 电源插座 [美国英语],Unit 4
provincial,[prəˈvɪnʃ(ə)l],2 / 5,"1. ADJ Provincial means connected with the parts of a country away from the capital city. | 2. ADJ If you describe someone or something as provincial , you disapprove of them because you think that they are old-fashioned and boring.",ADJ ___ means connected with the parts of a country away from the capital city.,省的 [ADJ n] | 守旧的 [表不满],Unit 4
prominence,[ˈprɒmɪnəns],1 / 5,"1. N-UNCOUNT If someone or something is in a position of prominence , they are well-known and important.","N-UNCOUNT If someone or something is in a position of ___ , they are well-known and important.",著名; 重要性,Unit 4
investigative,[ɪnˈvestɪɡətɪv],1 / 5,"1. ADJ Investigative work, especially journalism, involves investigating things.","ADJ ___ work, especially journalism, involves investigating things.",调查的,Unit 4
journalism,[ˈdʒɜːnəlɪz(ə)m],2 / 5,"1. N-UNCOUNT Journalism is the job of collecting news and writing about it for newspapers, magazines, television, or radio.","N-UNCOUNT ___ is the job of collecting news and writing about it for newspapers, magazines, television, or radio.",新闻工作,Unit 4
criticism,[ˈkrɪtɪsɪzəm],4 / 5,1. N-VAR Criticism is the action of expressing disapproval of something or someone. A criticism is a statement that expresses disapproval. | 2. N-UNCOUNT Criticism is a serious examination and judgment of something such as a book or play.,N-VAR ___ is the action of expressing disapproval of something or someone. A ___ is a statement that expresses disapproval.,批评; 反对意见 | 评论,Unit 4
topical,[ˈtɒpɪkl],2 / 5,1. ADJ Topical is used to describe something that concerns or relates to events that are happening at the present time.,ADJ ___ is used to describe something that concerns or relates to events that are happening at the present time.,有关时事的,Unit 4
numerous,[ˈnjuːmərəs],3 / 5,"1. ADJ If people or things are numerous , they exist or are present in large numbers.","ADJ If people or things are ___ , they exist or are present in large numbers.",许多的,Unit 4
propaganda,[ˌprɒpəˈɡændə],2 / 5,"1. N-UNCOUNT Propaganda is information, often inaccurate information, that a political organization publishes or broadcasts in order to influence people. (","N-UNCOUNT ___ is information, often inaccurate information, that a political organization publishes or broadcasts in order to influence people. (",政治组织的) 宣传 [表不满],Unit 4
announcement,[əˈnaʊnsmənt],3 / 5,"1. N-COUNT An announcement is a statement made to the public or to the media that gives information about something that has happened or that will happen. | 2. N-COUNT An announcement in a public place, such as a newspaper or the window of a shop, is a short piece of writing telling people about something or asking for something. | 3. N-SING The announcement of something that has happened is the act of telling people about it.",N-COUNT An ___ is a statement made to the public or to the media that gives information about something that has happened or that will happen.,公告 | 通告 | 宣布,Unit 4
alert,[əˈlɜːt],3 / 5,"1. ADJ If you are alert , you are paying full attention to things around you and are able to deal with anything that might happen. | 2. N-UNCOUNT alertness | 3. ADJ If you are alert to something, you are fully aware of it.","ADJ If you are ___ , you are paying full attention to things around you and are able to deal with anything that might happen.",警觉的 | 警觉性 | 充分意识到的 [v-link ADJ 'to' n] | 戒备状态 | 向…发出警报 | 准备应对,Unit 4
engaged,[ɪnˈɡeɪdʒd],2 / 5,"1. ADJ Someone who is engaged in a particular activity is doing that thing. | 2. ADJ When two people are engaged , they have agreed to marry each other. | 3. ADJ If a telephone or a telephone line is engaged , it is already being used by someone else so that you are unable to speak to the person you are phoning.",ADJ Someone who is ___ in a particular activity is doing that thing.,正从事的 [正式] [v-link ADJ 'in/on' n] | 已订婚的 | 占线的 [英国英语] | 使用中的 [英国英语],Unit 4
commentator,[ˈkɒmənteɪtə(r)],3 / 5,1. N-COUNT A commentator is a broadcaster who gives a radio or television commentary on an event. ( | 2. N-COUNT A commentator is also someone who often writes or broadcasts about a particular subject.,N-COUNT A ___ is a broadcaster who gives a radio or television commentary on an event. (,电台或电视的) 解说员 | 评论员,Unit 4
assert,[əˈsɜːt],2 / 5,"1. V-T If someone asserts a fact or belief, they state it firmly. | 2. N-VAR assertion | 3. V-T If you assert your authority, you make it clear by your behaviour that you have authority.","V-T If someone ___s a fact or belief, they state it firmly.",坚定地陈述 [正式] | 断言 | 显示 (权威) | 权威的) 显示 | 坚持 (权利或要求) | 坚持 | 彰显 (自己),Unit 4
downright,[ˈdaʊnraɪt],1 / 5,1. ADV You use downright to emphasize unpleasant or bad qualities or behaviour. ( | 2. ADJ Downright is also an adjective.,ADV You use ___ to emphasize unpleasant or bad qualities or behaviour. (,强调不快或负面事物) 彻头彻尾地 [ADV adj] [强调] | 彻头彻尾的 [ADJ n],Unit 4
innermost,[ˈɪnəməʊst],N/A,1. ADJ Your innermost thoughts and feelings are your most personal and secret ones. | 2. ADJ The innermost thing is the one that is nearest to the centre.,ADJ Your ___ thoughts and feelings are your most personal and secret ones.,最隐秘的 [ADJ n] | 最接近中心的 [ADJ n],Unit 4
revive,[rɪˈvaɪv],2 / 5,"1. V-T/V-I When something such as the economy, a business, a trend, or a feeling is revived or when it revives , it becomes active, popular, or successful again. | 2. V-T When someone revives a play, opera, or ballet, they present a new production of it. | 3. V-T/V-I If you revive someone who has fainted or if they revive , they become conscious again.","V-T/V-I When something such as the economy, a business, a trend, or a feeling is ___d or when it ___s , it becomes active, popular, or successful again.",恢复; 复兴 | 重新上演 (作品的新版) | 使苏醒; 苏醒,Unit 4
speculation,[ˌspekjuˈleɪʃ(ə)n],N/A,Speculation is the act of guessing or forming ideas without having all the facts.,___ is the act of guessing or forming ideas without having all the facts.,n. 投机，投机买卖；猜测，推测，推断,Unit 4
civic,[ˈsɪvɪk],2 / 5,1. ADJ You use civic to describe people or things that have an official status in a town or city. | 2. ADJ You use civic to describe the duties or feelings that people have because they belong to a particular community.,ADJ You use ___ to describe people or things that have an official status in a town or city.,市政的 [ADJ n] | 市民的; 公民的 [ADJ n],Unit 4
accomplishment,[əˈkʌmplɪʃmənt],1 / 5,1. N-COUNT An accomplishment is something remarkable that has been done or achieved.,N-COUNT An ___ is something remarkable that has been done or achieved.,成就,Unit 4
prompt,[prɒmpt],3 / 5,"1. V-T To prompt someone to do something means to make them decide to do it. | 2. V-T If you prompt someone when they stop speaking, you encourage or help them to continue. If you prompt an actor, you tell them what their next line is when they have forgotten what comes next. | 3. ADJ A prompt action is done without any delay.",V-T To ___ someone to do something means to make them decide to do it.,促使 | 提示; 给 (演员) 提示词 | 立即的 (行动) | 做某事) 迅速的 [v-link ADJ],Unit 4
era,[ˈɪərə],3 / 5,1. N-COUNT You can refer to a period of history or a long period of time as an era when you want to draw attention to a particular feature or quality that it has.,N-COUNT You can refer to a period of history or a long period of time as an ___ when you want to draw attention to a particular feature or quality that it has.,时代,Unit 4
encompass,[ɪnˈkʌmpəs],1 / 5,"1. V-T If something encompasses particular things, it includes them. | 2. V-T To encompass a place means to completely surround or cover it.","V-T If something ___es particular things, it includes them.",包含 | 围住; 覆盖,Unit 4
commentary,[ˈkɒmənt(ə)ri],2 / 5,1. N-VAR A commentary is a description of an event that is broadcast on radio or television while the event is taking place. | 2. N-COUNT A commentary is an article or book which explains or discusses something. | 3. N-UNCOUNT Commentary is discussion or criticism of something.,N-VAR A ___ is a description of an event that is broadcast on radio or television while the event is taking place.,"实况报道 | 评论性文章 (或书籍) | 评论 [also 'a' N, with supp]",Unit 4
forum,[ˈfɔːrəm],2 / 5,"1. N-COUNT A forum is a place, situation, or group in which people exchange ideas and discuss issues, especially important public issues.","N-COUNT A ___ is a place, situation, or group in which people exchange ideas and discuss issues, especially important public issues.",论坛,Unit 4
transmit,[trænzˈmɪt],2 / 5,"1. V-T/V-I When radio and television programmes, computer data, or other electronic messages are transmitted , they are sent from one place to another, using wires, radio waves, or satellites. | 2. V-T If one person or animal transmits a disease to another, they have the disease and cause the other person or animal to have it. | 3. V-T If an object or substance transmits something such as sound or electrical signals, the sound or signals are able to pass through it.","V-T/V-I When radio and television programmes, computer data, or other electronic messages are ___ed , they are sent from one place to another, using wires, radio waves, or satellites.",传播 (广播电视节目、计算机信息等) | 传播 (疾病) [正式] | 传导 (声音、电子信号等),Unit 4
enthusiast,[ɪnˈθjuːziæst],2 / 5,1. N-COUNT An enthusiast is a person who is very interested in a particular activity or subject and who spends a lot of time on it.,N-COUNT An ___ is a person who is very interested in a particular activity or subject and who spends a lot of time on it.,爱好者,Unit 4
obsolete,[ˈɒbsəliːt],1 / 5,1. ADJ Something that is obsolete is no longer needed because something better has been invented.,ADJ Something that is ___ is no longer needed because something better has been invented.,被淘汰的,Unit 4
documentation,[ˌdɒkjumenˈteɪʃn],1 / 5,"1. N-UNCOUNT Documentation consists of documents which provide proof or evidence of something, or are a record of something.","N-UNCOUNT ___ consists of documents which provide proof or evidence of something, or are a record of something.",文件证据,Unit 4
filter,[ˈfɪltə(r)],2 / 5,"1. V-T To filter a substance means to pass it through a device which is designed to remove certain particles contained in it. | 2. V-I If light or sound filters into a place, it comes in weakly or slowly, either through a partly covered opening, or from a long distance away. ( | 3. V-I When news or information filters through to people, it gradually reaches them. (",V-T To ___ a substance means to pass it through a device which is designed to remove certain particles contained in it.,过滤 | 光、声) 透入 | 新闻、信息等) 逐渐传开 | 过滤器 | 滤声器; 滤光器,Unit 4
celebrity,[səˈlebrəti],2 / 5,"1. N-COUNT A celebrity is someone who is famous, especially in areas of entertainment such as movies, music, writing, or sports. ( | 2. N-UNCOUNT If a person or thing achieves celebrity , they become famous, especially in areas of entertainment such as movies, music, writing, or sports. (","N-COUNT A ___ is someone who is famous, especially in areas of entertainment such as movies, music, writing, or sports. (",尤指娱乐界的) 名人 | 尤指娱乐界的) 名望,Unit 4
scenario,[səˈnɑːriəʊ],2 / 5,"1. N-COUNT If you talk about a likely or possible scenario , you are talking about the way in which a situation may develop.","N-COUNT If you talk about a likely or possible ___ , you are talking about the way in which a situation may develop.",设想; 可能的情况,Unit 4
assign,[əˈsaɪn],2 / 5,"1. V-T If you assign a piece of work to someone, you give them the work to do. | 2. V-T If you assign something to someone, you say that it is for their use. | 3. V-T If someone is assigned to a particular place, group, or person, they are sent there, usually in order to work at that place or for that person.","V-T If you ___ a piece of work to someone, you give them the work to do.",布置 (任务) | 分配 (某物) | 分派 [usu passive] | 赋予 (某功能或价值),Unit 4
articulate,[ɑːˈtɪkjuleɪt],2 / 5,"1. ADJ If you describe someone as articulate , you mean that they are able to express their thoughts and ideas easily and well. | 2. V-T When you articulate your ideas or feelings, you express them clearly in words. | 3. V-T If you articulate something, you say it very clearly, so that each word or syllable can be heard.","ADJ If you describe someone as ___ , you mean that they are able to express their thoughts and ideas easily and well.",善表达的 [表赞许] | 清楚地表述 [正式] | 清楚地说出,Unit 4
coordinated,[kəʊˈɔːdɪneɪtɪd],2 / 5,"1. V-T If you coordinate an activity, you organize the various people and things involved in it. | 2. ADJ coordinated | 3. V-T If you coordinate the different parts of your body, you make them work together efficiently to perform particular movements.","V-T If you coordinate an activity, you organize the various people and things involved in it.",协调 | 协调的 | 使 (身体各部位) 协调 | 搭配 (衣服、饰品) | 坐标 [技术],Unit 4
illustration,[ˌɪləˈstreɪʃ(ə)n],3 / 5,"1. N-COUNT An illustration is an example or a story that is used to make a point clear. | 2. N-COUNT An illustration in a book is a picture, design, or diagram. ( | 3.see also illustrate",N-COUNT An ___ is an example or a story that is used to make a point clear.,实例 | 书中的) 插图,Unit 4
submit,[səbˈmɪt],2 / 5,"1. V-I If you submit to something, you unwillingly allow something to be done to you, or you do what someone wants, for example because you are not powerful enough to resist. | 2. V-T If you submit a proposal, report, or request to someone, you formally send it to them so that they can consider it or decide about it.","V-I If you ___ to something, you unwillingly allow something to be done to you, or you do what someone wants, for example because you are not powerful enough to resist.",屈从 | 提交 (建议、报告或请求),Unit 4
tag,[tæɡ],2 / 5,"1. N-COUNT A tag is a small piece of card or cloth which is attached to an object or person and has information about that object or person on it. | 2. see also price tag | 3. N-COUNT An electronic tag is a device that is firmly attached to someone or something and sets off an alarm if that person or thing moves away or is removed. (",N-COUNT A ___ is a small piece of card or cloth which is attached to an object or person and has information about that object or person on it.,标签 | 电子) 跟踪器 | 儿童玩的) 触碰捉人游戏 | 给…贴标签,Unit 4
bullying,[ˈbʊliɪŋ],2 / 5,"1. N-COUNT A bully is someone who uses their strength or power to hurt or frighten other people. | 2. V-T If someone bullies you, they use their strength or power to hurt or frighten you. | 3. N-UNCOUNT bullying",N-COUNT A ___ is someone who uses their strength or power to hurt or frighten other people.,"恃强凌弱者 | 欺负 | 欺凌行为 | 威逼 | 真棒 (Also bully for you) [非正式] | 新西兰)塘鲤 (Also called (NZ) pakoko, titarakura, toitoi)",Unit 4
crave,[kreɪv],1 / 5,"1. V-T If you crave something, you want to have it very much. | 2. N-COUNT craving","V-T If you ___ something, you want to have it very much.",渴望得到 | 渴求,Unit 4
harass,[ˈhærəs],1 / 5,"1. V-T If someone harasses you, they trouble or annoy you, for example by attacking you repeatedly or by causing you as many problems as they can.","V-T If someone ___es you, they trouble or annoy you, for example by attacking you repeatedly or by causing you as many problems as they can.",骚扰,Unit 4
forward,[ˈfɔːwəd],4 / 5,"1. ADV If you move or look forward , you move or look in a direction that is in front of you. | 2. ADV Forward means in a position near the front of something such as a building or a vehicle. | 3. ADJ Forward is also an adjective.","ADV If you move or look ___ , you move or look in a direction that is in front of you.",向前 (移动、看) [ADV after v] | 靠前地 | 靠前的 [ADJ n] | 看) 向前地 [表赞许] | 向前的 [ADJ n] | 拨钟表) 向前地 [ADV after v] | 从某时刻) 起 ['from' n ADV] | 向前 (进展、进步) | 呈、走) 上前; (提) 出来 [ADV after v] | 转发 | 篮球、足球、曲棍球等运动的) 前锋,Unit 4
withdrawal,[wɪðˈdrɔːəl],3 / 5,"1. N-VAR The withdrawal of something is the act or process of removing it, or ending it. | 2. N-UNCOUNT Someone's withdrawal from an activity or an organization is their decision to stop taking part in it. | 3. N-COUNT A withdrawal is an amount of money that you take from your bank account.","N-VAR The ___ of something is the act or process of removing it, or ending it.",去除; 结束 [正式] | 退出 | 所取钱款 | 戒毒过程,Unit 4
depression,[dɪˈpreʃn],3 / 5,"1. N-VAR Depression is a mental state in which you are sad and feel that you cannot enjoy anything, because your situation is so difficult and unpleasant. | 2. N-COUNT A depression is a time when there is very little economic activity, which causes a lot of unemployment and poverty. | 3. N-COUNT A depression in a surface is an area which is lower than the parts surrounding it.","N-VAR ___ is a mental state in which you are sad and feel that you cannot enjoy anything, because your situation is so difficult and unpleasant.",抑郁 | 萧条期 | 洼地 | 低气压,Unit 4
suicide,[ˈsuːɪsaɪd],3 / 5,1. N-VAR People who commit suicide deliberately kill themselves because they do not want to continue living.,N-VAR People who commit ___ deliberately kill themselves because they do not want to continue living.,自杀,Unit 4
contaminate,[kənˈtæmɪneɪt],2 / 5,"1. V-T If something is contaminated by dirt, chemicals, or radiation, they make it dirty or harmful. | 2. N-UNCOUNT contamination","V-T If something is ___d by dirt, chemicals, or radiation, they make it dirty or harmful.",污染 | 污染,Unit 4
hatred,[ˈheɪtrɪd],2 / 5,1. N-UNCOUNT Hatred is an extremely strong feeling of dislike for someone or something.,N-UNCOUNT ___ is an extremely strong feeling of dislike for someone or something.,憎恨,Unit 4
positivity,[ˌpɒzɪˈtɪvɪti],2 / 5,Positivity is the fact of having a positive attitude.,___ is the fact of having a positive attitude.,n. 积极性，确实,Unit 4
harass,[ˈhærəs],1 / 5,"1. V-T If someone harasses you, they trouble or annoy you, for example by attacking you repeatedly or by causing you as many problems as they can.","V-T If someone ___es you, they trouble or annoy you, for example by attacking you repeatedly or by causing you as many problems as they can.",骚扰,Unit 4
snap,[snæp],3 / 5,"1. V-T/V-I If something snaps or if you snap it, it breaks suddenly, usually with a sharp cracking noise. | 2. N-SING Snap is also a noun. | 3. V-T/V-I If you snap something into a particular position, or if it snaps into that position, it moves quickly into that position, with a sharp sound.","V-T/V-I If something ___s or if you ___ it, it breaks suddenly, usually with a sharp cracking noise.",使喀嚓折断; 喀嚓折断 | 喀嚓的断裂声 | 使发出啪的一声; 发出啪的一声 | 吧嗒声 | 打响指 | 打响指 [N 'of' n] | 声色俱厉地说 | 人) 突然发怒; (物) 突然爆发 | 作势猛咬 | 仓促的 [ADJ n] | 按扣 [美国英语] | 相片 [非正式],Unit 4
crook,[krʊk],2 / 5,"1. N-COUNT A crook is a dishonest person or a criminal. | 2. N-COUNT The crook of your arm or leg is the soft inside part where you bend your elbow or knee. | 3. N-COUNT A crook is a long pole with a large hook at the end. A crook is carried by a bishop in religious ceremonies, or by a shepherd. (",N-COUNT A ___ is a dishonest person or a criminal.,无赖; 恶棍 [非正式] | 臂弯; 腿弯 | 主教在宗教仪式上所用的或牧羊人使用的) 曲柄手杖 | 弯曲,Unit 4
predator,[ˈpredətə(r)],1 / 5,1. N-COUNT A predator is an animal that kills and eats other animals. | 2. N-COUNT People sometimes refer to predatory people or organizations as predators .,N-COUNT A ___ is an animal that kills and eats other animals.,食肉动物 | 掠夺者,Unit 4
stalker,[ˈstɔːkə(r)],N/A,"1. N-COUNT A stalker is someone who keeps following or contacting someone else, especially a famous person or a person they used to have a relationship with, in an annoying and frightening way.","N-COUNT A ___ is someone who keeps following or contacting someone else, especially a famous person or a person they used to have a relationship with, in an annoying and frightening way.",骚扰者; 纠缠者,Unit 4
